id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJQVuAyHwFdkgRRONXLgGXyGA,https://www.google.com/maps/place/?q=place_id:ChIJQVuAyHwFdkgRRONXLgGXyGA,Hideaway Coffee House,Coffee shop,"7 Farrier's Psge, London W1D 7DP",,,instagram.com,https://www.instagram.com/hideawaycoffee/,"51.511337499999996,-0.1352386",4.8,,coffee shops in london
ChIJN16p1UUbdkgRTuyXr3hwQDU,https://www.google.com/maps/place/?q=place_id:ChIJN16p1UUbdkgRTuyXr3hwQDU,Omotesando Koffee,Coffee shop,"8 Newman St, London W1T 1FB",,,ooo-koffee.com,http://ooo-koffee.com/,"51.516583999999995,-0.1348038",4.4,,coffee shops in london
ChIJExFFUUMFdkgR8fKDv4FDsig,https://www.google.com/maps/place/?q=place_id:ChIJExFFUUMFdkgR8fKDv4FDsig,% ARABICA London Covent Garden,Coffee shop,"5 King St, London WC2E 8HN",,,arabica.coffee,https://arabica.coffee/en/location/arabica-london-covent-garden/,"51.5117475,-0.1240356",4.4,,coffee shops in london
ChIJac2MJkwbdkgREaRKCWzWrHc,https://www.google.com/maps/place/?q=place_id:ChIJac2MJkwbdkgREaRKCWzWrHc,Prufrock Coffee,Coffee shop,"23-25 Leather Ln, London EC1N 7TE",,,prufrockcoffee.com,http://www.prufrockcoffee.com/,"51.5199272,-0.1094739",4.6,,coffee shops in london
ChIJUXqwCGUbdkgRS9_gCSWnwCY,https://www.google.com/maps/place/?q=place_id:ChIJUXqwCGUbdkgRS9_gCSWnwCY,Kiss the Hippo Coffee,Coffee shop,"51 Margaret St, London W1W 8SG",020 3887 2028,+44 20 3887 2028,kissthehippo.com,https://www.kissthehippo.com/,"51.516515299999995,-0.1415986",4.4,,coffee shops in london
ChIJa1ukL80EdkgRhI1r9wFYz4g,https://www.google.com/maps/place/?q=place_id:ChIJa1ukL80EdkgRhI1r9wFYz4g,Monmouth Coffee Company,Coffee shop,"27 Monmouth St, London WC2H 9EU",020 7232 3010,+44 20 7232 3010,monmouthcoffee.co.uk,http://www.monmouthcoffee.co.uk/,"51.514389099999995,-0.1268041",4.5,,coffee shops in london
ChIJ32WYJnsbdkgR1FckbQTtMk8,https://www.google.com/maps/place/?q=place_id:ChIJ32WYJnsbdkgR1FckbQTtMk8,Archetype Coffee,Coffee shop,"31 Riding House St, London W1W 7DY",,,,,"51.518557699999995,-0.1409618",4.9,,coffee shops in london
ChIJF0CUcSobdkgRM2Mz_ZJTXgM,https://www.google.com/maps/place/?q=place_id:ChIJF0CUcSobdkgRM2Mz_ZJTXgM,Kaffeine,Coffee shop,"66 Great Titchfield St., London W1W 7QJ",,,kaffeine.co.uk,https://kaffeine.co.uk/,"51.5184664,-0.1404",4.6,,coffee shops in london
ChIJf3yxVKoEdkgRcJCSL8uB4Po,https://www.google.com/maps/place/?q=place_id:ChIJf3yxVKoEdkgRcJCSL8uB4Po,The Wren Coffee,Coffee shop,"114 Queen Victoria St, London EC4V 4BJ",,,thewrencoffee.com,http://www.thewrencoffee.com/,"51.512088899999995,-0.0968887",4.7,,coffee shops in london
ChIJnaA4MvEFdkgRzDDUof3P8DQ,https://www.google.com/maps/place/?q=place_id:ChIJnaA4MvEFdkgRzDDUof3P8DQ,St.George Coffee Shop & Wine Bar,Coffee shop,"112 St Martin's Ln, London WC2N 4BD",020 8569 9369,+44 20 8569 9369,stgeorgecoffee.co.uk,https://stgeorgecoffee.co.uk/,"51.509923699999995,-0.1271185",4.7,,coffee shops in london
ChIJ1fRYjo4ddkgRRZq7lphil6E,https://www.google.com/maps/place/?q=place_id:ChIJ1fRYjo4ddkgRRZq7lphil6E,Rosslyn Coffee London Wall,Coffee shop,"118 London Wall, London EC2Y 5JA",,,rosslyncoffee.com,https://www.rosslyncoffee.com/,"51.5176899,-0.0890369",4.8,,coffee shops in london
ChIJjSKnuM0adkgRA725Gi-2JFk,https://www.google.com/maps/place/?q=place_id:ChIJjSKnuM0adkgRA725Gi-2JFk,The Monocle Café,Coffee shop,"18 Chiltern St, London W1U 7QA",020 7135 2040,+44 20 7135 2040,cafe.monocle.com,http://cafe.monocle.com/,"51.5187865,-0.15462109999999998",4.4,,coffee shops in london
ChIJ_XJOLvYFdkgR1oW-M-c4fvk,https://www.google.com/maps/place/?q=place_id:ChIJ_XJOLvYFdkgR1oW-M-c4fvk,Chill House Coffee Shop,Coffee shop,"10 Shepherd St, London W1J 7JE",,,chillhouselondon.com,https://www.chillhouselondon.com/,"51.506284099999995,-0.14685399999999998",4.8,,coffee shops in london
ChIJrXAvPfUFdkgR4mlKJcHL_cw,https://www.google.com/maps/place/?q=place_id:ChIJrXAvPfUFdkgR4mlKJcHL_cw,Foundry Coffee,Coffee shop,"156 Blackfriars Rd, London SE1 8EN",020 7953 1001,+44 20 7953 1001,instagram.com,https://www.instagram.com/foundrycoffeese1/,"51.5011778,-0.1044455",4.8,,coffee shops in london
ChIJx54enugcdkgRgI7vkpta1sE,https://www.google.com/maps/place/?q=place_id:ChIJx54enugcdkgRgI7vkpta1sE,Climpson & Sons Café,Coffee shop,"67 Broadway Market, London E8 4PH",020 7254 7199,+44 20 7254 7199,climpsonandsons.com,http://www.climpsonandsons.com/,"51.5374701,-0.0613386",4.4,,coffee shops in london
